DeviceID,ClientID,ClientName,DeviceType,DeviceStatus,IssuesReported,ChangeRequestDate,ChangeCompletionDate,UpdateRequired,UpdateStatus,ResolutionTimeDays,CostoReparacion,Country,EfectividadAntesCambio,EfectividadDespuesCambio
D0001,C002,Andrea Sanchez,gps,Inactivo,No conecta bien,25/03/2023,24/06/2024,si,Pendiente,457,1536,Guatemala,75.84,88.26
D0002,C009,Fernando Ortega,monitor,Inactivo,No reconoce los datos,22/12/2024,27/12/2024,no,Completada,5,1846,Guatemala,56.58,80.75
D0003,C010,Andrea Cruz,gps,Activo,Desconexion espontanea,01/10/2023,14/11/2024,si,Pendiente,410,1755,Barbados,67.36,82.96
D0004,C003,Antonio Perez,monitor,Inactivo,Imagen borrosa,02/10/2023,06/02/2024,no,Pendiente,127,2616,Honduras,79.72,84.76
D0005,C006,Eduardo Garcia,gps,Inactivo,No conecta bien,26/03/2023,08/01/2024,si,Pendiente,288,1654,Cuba,57.06,87.02
D0006,C010,Sofia Ramos,gps,Activo,No reconoce los datos,21/05/2024,22/05/2024,si,Pendiente,1,1885,Saint Vincent y las Granadinas,57.1,98.63
D0007,C002,Lucia Gomez,camara,Inactivo,Desconexion espontanea,19/07/2024,31/10/2024,si,Completada,104,2004,Brasil,55.95,81.58
D0008,C010,Mariana Hernandez,monitor,En mantenimiento,Imagen borrosa,18/12/2023,20/05/2024,no,Pendiente,154,2022,Bolivia,50.91,88.61
D0009,C006,Lucia Vargas,camara,Activo,No conecta bien,27/07/2024,17/12/2024,no,Pendiente,143,2298,Uruguay,59.33,86
D0010,C010,Fernando Torres,camara,En mantenimiento,No reconoce los datos,23/06/2024,14/12/2024,no,Pendiente,174,1608,Brasil,76.87,88.5
D0011,C004,Lucia Rodriguez,gps,Inactivo,Desconexion espontanea,30/05/2024,18/12/2024,no,Pendiente,202,1937,Ecuador,63.6,81.59
D0012,C009,Andrea Hernandez,monitor,Activo,Imagen borrosa,16/09/2023,05/12/2023,no,Pendiente,80,1597,Surinam,69.26,98.52
D0013,C008,Jorge Vargas,camara,En mantenimiento,No conecta bien,12/09/2024,27/09/2024,si,Completada,15,2443,Mexico,78.32,85.51
D0014,C005,Diego Perez,camara,Inactivo,No reconoce los datos,04/10/2023,12/07/2024,si,Completada,282,2958,Ecuador,54.45,86.22
D0015,C009,Miguel Gonzalez,camara,Activo,Desconexion espontanea,04/09/2024,23/09/2024,si,Pendiente,19,2086,Saint Vincent y las Granadinas,75.57,87.55
D0016,C001,Francisco Vargas,gps,Inactivo,Imagen borrosa,06/02/2024,09/02/2024,si,Pendiente,3,2937,Trinidad y Tobago,60.43,92.69
D0017,C002,Miguel Gomez,gps,En mantenimiento,No conecta bien,22/04/2023,14/01/2024,no,Pendiente,267,2067,Mexico,56.37,89.41
D0018,C004,Eduardo Torres,monitor,En mantenimiento,No reconoce los datos,15/12/2023,05/10/2024,si,Pendiente,295,2764,Dominica,56.82,84.11
D0019,C002,Fernando Garcia,camara,Activo,Desconexion espontanea,28/07/2023,16/08/2023,si,Completada,19,1713,Saint Lucia,75.62,87.03
D0020,C001,Gabriel Perez,gps,Activo,Imagen borrosa,11/06/2024,26/12/2024,si,Completada,198,2896,El Salvador,79.75,94.18
D0021,C004,Jorge Cruz,monitor,Activo,No conecta bien,12/12/2023,28/06/2024,no,Pendiente,199,2972,Paraguay,67.43,99.47
D0022,C002,Carmen Diaz,camara,En mantenimiento,No reconoce los datos,11/09/2024,05/11/2024,no,Pendiente,55,2773,Belice,68.08,94.93
D0023,C008,Diego Castillo,gps,Activo,Desconexion espontanea,20/09/2023,02/10/2024,si,Completada,378,1520,Cuba,71.94,96.4
D0024,C009,Lucia Ramos,camara,En mantenimiento,Imagen borrosa,22/06/2023,27/09/2023,si,Pendiente,97,1767,Chile,76.19,98.95
D0025,C007,Miguel Ortega,monitor,Inactivo,No conecta bien,06/02/2024,01/08/2024,no,Completada,177,1614,Bahamas,55.48,87.94
D0026,C005,Carmen Martinez,camara,En mantenimiento,No reconoce los datos,28/04/2024,08/10/2024,si,Completada,163,2142,Venezuela,63.03,97.39
D0027,C001,Fernando Rodriguez,monitor,En mantenimiento,Desconexion espontanea,20/11/2024,19/12/2024,si,Completada,29,1906,Guatemala,56.89,97.33
D0028,C001,Francisco Garcia,camara,Activo,Imagen borrosa,04/05/2023,13/09/2023,no,Completada,132,1565,Venezuela,50.03,93.79
D0029,C002,Elena Mendoza,camara,En mantenimiento,No conecta bien,30/11/2023,13/10/2024,si,Completada,318,1524,Cuba,70.63,84.04
D0030,C004,Antonio Martinez,monitor,Inactivo,No reconoce los datos,16/02/2024,16/02/2024,si,Completada,0,1707,Costa Rica,55.61,91.74
D0031,C001,Carlos Ramos,camara,En mantenimiento,Desconexion espontanea,06/07/2023,25/06/2024,si,Completada,355,1662,Colombia,61.2,88.85
D0032,C004,Fernando Ortega,monitor,Activo,Imagen borrosa,16/04/2023,01/03/2024,si,Completada,320,2212,Barbados,61.49,88.2
D0033,C009,Alejandra Ramirez,monitor,Activo,No conecta bien,17/08/2023,31/12/2023,si,Completada,136,2456,Panama,52.71,87.59
D0034,C009,Carmen Gonzalez,camara,Inactivo,No reconoce los datos,29/07/2024,06/08/2024,no,Pendiente,8,1912,Trinidad y Tobago,64.5,82.84
D0035,C008,Carmen Flores,monitor,Activo,Desconexion espontanea,30/05/2023,20/12/2024,no,Pendiente,570,2041,Paraguay,65.04,84.82
D0036,C003,Lucia Ramos,camara,En mantenimiento,Imagen borrosa,30/08/2024,24/10/2024,no,Pendiente,55,2461,Saint Kitts y Nevis,67.56,89.22
D0037,C003,Miguel Ramos,camara,Inactivo,No conecta bien,11/06/2023,24/07/2023,no,Completada,43,1599,Guyana,71.42,93.55
D0038,C005,Isabel Ramirez,camara,Inactivo,No reconoce los datos,06/05/2024,11/08/2024,si,Completada,97,2853,Paraguay,65.75,85.53
D0039,C004,Valeria Gomez,gps,Inactivo,Desconexion espontanea,18/09/2024,31/10/2024,si,Completada,43,2079,Saint Vincent y las Granadinas,73.31,96.37
D0040,C005,Maria Perez,monitor,Activo,Imagen borrosa,18/12/2024,23/12/2024,si,Completada,5,2011,Granada,56.7,97.3
D0041,C005,Luis Lopez,gps,Activo,No conecta bien,10/07/2023,01/09/2024,si,Pendiente,419,2347,Mexico,65.06,96.39
D0042,C009,Gabriel Flores,monitor,En mantenimiento,No reconoce los datos,01/01/2024,07/10/2024,si,Pendiente,280,2832,Bahamas,65.52,92.13
D0043,C010,Sofia Vargas,gps,Activo,Desconexion espontanea,13/08/2023,11/11/2023,no,Pendiente,90,2181,Ecuador,56.87,94.25
D0044,C007,Valeria Hernandez,camara,Inactivo,Imagen borrosa,28/12/2023,23/09/2024,si,Pendiente,270,2054,Argentina,62.07,80.52
D0045,C006,Paula Vargas,gps,En mantenimiento,No conecta bien,18/02/2024,01/07/2024,si,Pendiente,134,2478,Saint Kitts y Nevis,55.33,96.36
D0046,C006,Antonio Martinez,monitor,Inactivo,No reconoce los datos,01/04/2024,03/06/2024,si,Pendiente,63,1935,Ecuador,74.5,82.72
D0047,C003,Valeria Castillo,monitor,Inactivo,Desconexion espontanea,12/06/2023,05/09/2023,no,Completada,85,1519,Trinidad y Tobago,73.55,89.38
D0048,C008,Alejandra Morales,monitor,En mantenimiento,Imagen borrosa,25/10/2023,16/12/2023,no,Pendiente,52,1938,Mexico,56.37,83.97
D0049,C002,Andrea Castillo,camara,Inactivo,No conecta bien,27/03/2024,01/11/2024,si,Completada,219,2514,Santa Lucia,79.94,83.53
D0050,C008,Mariana Ramos,monitor,Inactivo,No reconoce los datos,13/06/2023,09/10/2024,no,Completada,484,2347,Trinidad y Tobago,53.07,92.69
D0051,C001,Valeria Gonzalez,monitor,Activo,Desconexion espontanea,07/11/2023,08/01/2024,si,Pendiente,62,2036,Mexico,50,84.1
D0052,C003,Diego Diaz,monitor,En mantenimiento,Imagen borrosa,03/11/2023,20/04/2024,no,Completada,169,2621,Venezuela,52.82,83.31
D0053,C009,Diego Rodriguez,monitor,En mantenimiento,No conecta bien,20/10/2023,29/10/2023,si,Pendiente,9,2559,Bolivia,63.49,92.48
D0054,C005,Jorge Perez,monitor,En mantenimiento,No reconoce los datos,24/05/2024,28/11/2024,si,Completada,188,2118,San Cristobal y Nieves,58.43,94.04
D0055,C009,Eduardo Torres,gps,Activo,Desconexion espontanea,16/04/2024,07/05/2024,no,Completada,21,2437,Brasil,77.03,99.97
D0056,C007,Mariana Gomez,gps,Inactivo,Imagen borrosa,19/11/2023,13/07/2024,si,Pendiente,237,2341,Saint Vincent y las Granadinas,68.75,94.08
D0057,C001,Francisco Perez,monitor,Inactivo,No conecta bien,02/11/2024,22/11/2024,si,Completada,20,2738,Paraguay,61.88,99.14
D0058,C004,Lucia Perez,monitor,Inactivo,No reconoce los datos,19/05/2023,20/09/2023,si,Pendiente,124,2353,Santa Lucia,51.34,96.08
D0059,C010,Elena Castillo,gps,Inactivo,Desconexion espontanea,20/03/2023,22/12/2023,no,Completada,277,2825,Ecuador,68.26,80.67
